ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
6ab68b,ACQ wood treatment,FALSE,FALSE,TRUE,FALSE,,"LCA, 2011",ACQ wood treatment,,,,,,US & CA,,174,1000 BF,0.80,m2 surface area,m²,ft²,,,,,,,,,,,,,216.7,m2 surface area/1000 BF,,,,,,,,,,,,,,,"Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production",Journal LCA,,"Bolin & Smith, Journal of Cleaner Production",,,,,,,,,,,
STU00X,Synthetic Stucco (Acrylic) [BEAM Avg | US & CA],TRUE,FALSE,FALSE,TRUE,,,Acrylic Stucco Textured Finish,Sto Corp.,,,,,US & CA,2024-03-15,,,37.50,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,,BEAM Average,,,,,,,,,,,,,
5caf85,Synthetic Stucco (Acrylic) / Sto / Stolit 1.0 & 1.0 Dark Colors (avg),TRUE,FALSE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit 1.0 & 1.0 Dark Colors,,avg of both,US,US & CA,2022-04-27,28.8,m²,28.80,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
f93xa0,Synthetic Stucco (Acrylic) / Sto / Stolit 1.5 & 1.5 Dark Colors (avg),TRUE,FALSE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit 1.5 & 1.5 Dark Colors,,avg of both,US,US & CA,2022-04-27,32.8,m²,32.80,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
21dw0f,Synthetic Stucco (Acrylic) / Sto / Stolit Freeform & Freeform Dark Colors (avg),TRUE,FALSE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Freeform & Freeform Dark Colors,,avg of both,US,US & CA,2022-04-27,50.9,m²,50.90,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
1fkf0c,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan 1.0 & 1.0 Dark Colors (avg),FALSE,TRUE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan 1.0 & 1.0 Dark Colors,,avg of both,US,US & CA,2022-04-27,29.5,m²,29.50,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
yds03d,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan 1.5 & 1.5 Dark Colors (avg),FALSE,TRUE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan 1.5 & 1.5 Dark Colors,,avg of both,US,US & CA,2022-04-27,34.0,m²,34.00,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
v0w92k,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan Freeform & Freeform Dark Colors (avg),FALSE,TRUE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan Freeform & Freeform Dark Colors,,avg of both,US,US & CA,2022-04-27,51.7,m²,51.70,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
xsp4tl,Stucco Base coat / Sto / BTS Plus – adhered over rough masonry concrete & CMUs,FALSE,TRUE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Stucco base coat,Sto Corp.,BTS Plus,"Sto BTS Plus is a one-component, polymer-modified, cement based, dry powder material used as an adhesive and base coat in Sto Wall Claddings, including StoTherm ci Classic and StoTherm ci Lotusan Systems.",,US,US & CA,2022-04-27,38.6,m²,38.60,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Cement-based,Polymer-modified,Cladding,Basecoat,,01-004,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
p9dbo4,Stucco Base coat / Sto / BTS Plus – adhered over average (flat) substrate,FALSE,TRUE,FALSE,FALSE,2024-12-18,Expired 2024-12-18,Stucco base coat,Sto Corp.,BTS Plus,"Sto BTS Plus is a one-component, polymer-modified, cement based, dry powder material used as an adhesive and base coat in Sto Wall Claddings, including StoTherm ci Classic and StoTherm ci Lotusan Systems.",,US,US & CA,2022-04-27,13.5,m²,13.50,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Cement-based,Polymer-modified,Cladding,Basecoat,,01-004,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10,,
