ID,Type,Name,Parent Sheet,Parent Category
T01,Sheet,Footings & Slabs,,
T01|C01,Category,CONTINUOUS CONCRETE FOOTINGS,T01,
T01|C01|S01,Subcategory,CONCRETE – <=25 MPa – CANADA,T01,T01|C01
T01|C01|S02,Subcategory,CONCRETE – 26-30 MPa,T01,T01|C01
T01|C01|S03,Subcategory,CONCRETE – 31-35 MPa – CANADA,T01,T01|C01
T01|C01|S05,Subcategory,CONCRETE – <= 2500 psi – N.AMERICA,T01,T01|C01
T01|C01|S04,Subcategory,CONCRETE – 2501-3000 psi – N.AMERICA,T01,T01|C01
T01|C01|S06,Subcategory,CONCRETE – 3001-4000 psi – N.AMERICA,T01,T01|C01
T01|C01|S07,Subcategory,CONCRETE – 4001-5000 psi – N.AMERICA,T01,T01|C01
T01|C11,Category,CONCRETE COLUMN PADS & PIERS,T01,
T01|C11|S01,Subcategory,CONCRETE – <=25 MPa – CANADA,T01,T01|C11
T01|C11|S02,Subcategory,CONCRETE – 26-30 MPa – CANADA,T01,T01|C11
T01|C11|S03,Subcategory,CONCRETE – 31-35 MPa – CANADA,T01,T01|C11
T01|C11|S05,Subcategory,CONCRETE – <= 2500 psi – N.AMERICA,T01,T01|C11
T01|C11|S04,Subcategory,CONCRETE – 2501-3000 psi – N.AMERICA,T01,T01|C11
T01|C11|S06,Subcategory,CONCRETE – 3001-4000 psi – N.AMERICA,T01,T01|C11
T01|C11|S07,Subcategory,CONCRETE – 4001-5000 psi – N.AMERICA,T01,T01|C11
T01|C03,Category,METAL PILE FOUNDATIONS,T01,
T01|C03|S01,Subcategory,STEEL HELICAL PILES,T01,T01|C03
T01|C03|S02,Subcategory,STEEL SCREW PILES,T01,T01|C03
T01|C14,Category,TIMBER PILE FOUNDATION,T01,
T01|C14|S01,Subcategory,TIMBER PILES,T01,T01|C14
T01|C06,Category,CONCRETE SLABS,T01,
T01|C06|S01,Subcategory,CONCRETE – <=25 MPa – CANADA,T01,T01|C06
T01|C06|S02,Subcategory,CONCRETE – 26-30 MPa – CANADA,T01,T01|C06
T01|C06|S03,Subcategory,CONCRETE – 31-35 MPa – CANADA,T01,T01|C06
T01|C06|S05,Subcategory,CONCRETE – <= 2500 psi – N.AMERICA,T01,T01|C06
T01|C06|S04,Subcategory,CONCRETE – 2501-3000 psi – N.AMERICA,T01,T01|C06
T01|C06|S06,Subcategory,CONCRETE – 3001-4000 psi – N.AMERICA,T01,T01|C06
T01|C06|S07,Subcategory,CONCRETE – 4001-5000 psi – N.AMERICA,T01,T01|C06
T01|C07,Category,EARTHEN FLOOR SYSTEMS,T01,
T01|C07|S01,Subcategory,EARTHEN FLOOR SYSTEMS – CLAY BINDER,T01,T01|C07
T01|C07|S02,Subcategory,EARTHEN FLOOR SYSTEMS – CLAY-LIME BINDER,T01,T01|C07
T01|C02,Category,REBAR FOR CONTINUOUS FOOTINGS,T01,
T01|C02|S01,Subcategory,STEEL REINFORCING BARS - CANADIAN BAR SIZES,T01,T01|C02
T01|C02|S02,Subcategory,STEEL REINFORCING BARS - US BAR SIZES,T01,T01|C02
T01|C12,Category,"REBAR FOR COLUMN FOOTINGS, PADS & PIERS",T01,
T01|C12|S01,Subcategory,STEEL REINFORCING BARS - CANADIAN BAR SIZES,T01,T01|C12
T01|C12|S02,Subcategory,STEEL REINFORCING BARS - US BAR SIZES,T01,T01|C12
T01|C04,Category,REBAR FOR SLABS,T01,
T01|C04|S01,Subcategory,STEEL REINFORCING BARS - CANADIAN BAR SIZES,T01,T01|C04
T01|C04|S02,Subcategory,STEEL REINFORCING BARS - US BAR SIZES,T01,T01|C04
T01|C05,Category,REINFORCING MESH FOR SLAB,T01,
T01|C05|S01,Subcategory,WELDED/WOVEN WIRE MESH,T01,T01|C05
T01|C08,Category,SUB-SLAB INSULATION,T01,
T01|C08|S01,Subcategory,EPS FOAM BOARD,T01,T01|C08
T01|C08|S07,Subcategory,EPS FOAM BOARD WITH GRAPHITE,T01,T01|C08
T01|C08|S02,Subcategory,XPS FOAM BOARD (LEGACY FORMULAS),T01,T01|C08
T01|C08|S09,Subcategory,XPS FOAM BOARD (REDUCED GWP),T01,T01|C08
T01|C08|S08,Subcategory,XPS FOAM BOARD,T01,T01|C08
T01|C08|S03,Subcategory,MINERAL WOOL BOARD,T01,T01|C08
T01|C08|S04,Subcategory,LIGHT WEIGHT AGGREGATE,T01,T01|C08
T01|C08|S05,Subcategory,FOAM GLASS BOARD,T01,T01|C08
T01|C08|S06,Subcategory,CORK BOARD,T01,T01|C08
T01|C15,Category,BARRIERS AND MEMBRANES,T01,
T01|C15|S01,Subcategory,SHEET BARRIER,T01,T01|C15
T01|C15|S02,Subcategory,LIQUID APPLIED BARRIER,T01,T01|C15
T01|C09,Category,BASEMENT FLOORING,T01,
T01|C09|S05,Subcategory,LAMINATE FLOORING,T01,T01|C09
T01|C09|S07,Subcategory,CARPET,T01,T01|C09
T01|C09|S12,Subcategory,RUBBER FLOORING,T01,T01|C09
T01|C09|S01,Subcategory,HARDWOOD FLOORING,T01,T01|C09
T01|C09|S15,Subcategory,ENGINEERED WOOD FLOORING,T01,T01|C09
T01|C09|S03,Subcategory,CERAMIC TILE FLOORING,T01,T01|C09
T01|C09|S17,Subcategory,NATURAL STONE FLOORING,T01,T01|C09
T01|C09|S04,Subcategory,VINYL FLOORING,T01,T01|C09
T01|C09|S08,Subcategory,STONE PLASTIC COMPOSITE FLOORING,T01,T01|C09
T01|C09|S10,Subcategory,LINOLEUM FLOORING – LIQUID APPLIED,T01,T01|C09
T01|C09|S02,Subcategory,LINOLEUM FLOORING – 2.5 mm SHEET,T01,T01|C09
T01|C09|S09,Subcategory,LINOLEUM FLOORING – 4.0 mm SHEET,T01,T01|C09
T01|C09|S06,Subcategory,CORK FLOORING,T01,T01|C09
T01|C09|S18,Subcategory,HEMPWOOD FLOORING,T01,T01|C09
T01|C09|S11,Subcategory,BAMBOO FLOORING,T01,T01|C09
T01|C10,Category,AGGREGATE BASE,T01,
T01|C10|S01,Subcategory,CRUSHED STONE,T01,T01|C10
T01|CAM,Category,ADDITIONAL MATERIALS,T01,
T01|CAM|SLE,Subcategory,MATERIALS BY LENGTH,T01,T01|CAM
T01|CAM|SAR,Subcategory,MATERIALS BY AREA,T01,T01|CAM
T01|CAM|SRV,Subcategory,MATERIALS BY R-VALUE & AREA,T01,T01|CAM
