"","FLOORS","","","","","","","","","","","",""
"","PROJECT NAME:    Sample Project DOE Prototype
SCENARIO:              Baseline
BEAM VERSION:     V1.1","","FALSE","","","","","","","","","","T09"
"CATEGORY","MATERIAL","","UNITS","","","","","","","","","FOOTNOTE","ID"
"OPEN WEB STEEL JOIST FLOOR FRAMING","","","","","","","","","","","","","T09|C01"
"OPEN WEB STEEL FLOOR JOIST SYSTEM","","","","","","","","","","","","","T09|C01|S01"
"","Steel joists / Open web / Steel Joist Institute / 12"" 12K3 joist [Industry Avg | US & CA]","104.4","m²","100%","","FALSE","0","0","0","0","","","T09|C01|S01|sss004"
"COLD-FORMED STEEL JOIST FLOOR FRAMING","","","","","","","","","","","","","T09|C06"
"12"" LIGHT STEEL FLOOR ASSEMBLY","","","","","","","","","","","","","T09|C06|S01"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 12"" o.c. spacing, 12"" height, 14g (Joist: 1200S162-68, Rim: 1200S125-68)","104.4","m²","100%","","FALSE","5,141","5,141","0","0","","Expired 2026-01-01","T09|C06|S01|bv0gw2"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 16"" o.c. spacing, 12"" height, 14g (Joist: 1200S162-68, Rim: 1200S125-68)","104.4","m²","100%","","FALSE","3,985","3,985","0","0","","Expired 2026-01-01","T09|C06|S01|9wmfex"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 24"" o.c. spacing, 12"" height, 14g (Joist: 1200S162-68, Rim: 1200S125-68)","104.4","m²","100%","","FALSE","2,830","2,830","0","0","","Expired 2026-01-01","T09|C06|S01|gsl3dd"
"10"" LIGHT STEEL FLOOR ASSEMBLY","","","","","","","","","","","","","T09|C06|S02"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 12"" o.c. spacing, 10"" height, 16g (Joist: 1000S162-54, Rim: 1000S125-54)","104.4","m²","100%","","FALSE","3,585","3,585","0","0","","Expired 2026-01-01","T09|C06|S02|xv9sm2"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 16"" o.c. spacing, 10"" height, 16g (Joist: 1000S162-54, Rim: 1000S125-54)","104.4","m²","100%","","FALSE","2,778","2,778","0","0","","Expired 2026-01-01","T09|C06|S02|cx93wm"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 24"" o.c. spacing, 10"" height, 16g (Joist: 1000S162-54, Rim: 1000S125-54)","104.4","m²","100%","","FALSE","1,971","1,971","0","0","","Expired 2026-01-01","T09|C06|S02|20fslq"
"8"" LIGHT STEEL FLOOR ASSEMBLY","","","","","","","","","","","","","T09|C06|S03"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 12"" o.c. spacing, 8"" height, 18g (Joist: 800S162-43, Rim: 800S125-43)","104.4","m²","100%","","FALSE","2,456","2,456","0","0","","Expired 2026-01-01","T09|C06|S03|e923k2"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 16"" o.c. spacing, 8"" height, 18g (Joist: 800S162-43, Rim: 800S125-43)","104.4","m²","100%","","FALSE","1,902","1,902","0","0","","Expired 2026-01-01","T09|C06|S03|3kg0d7"
"","Cold-formed steel floor joist assembly / ClarkDietrich / 24"" o.c. spacing, 8"" height, 18g (Joist: 800S162-43, Rim: 800S125-43)","104.4","m²","100%","","FALSE","1,347","1,347","0","0","","Expired 2026-01-01","T09|C06|S03|v2r3a4"
"LAMINATED TIMBER FLOOR PANELS","","","","","","","","","","","","","T09|C02"
"GLUED LAMINATED TIMBER (GLT) FLOOR SYSTEM","","","","","","","","","","","","","T09|C02|S01"
"","Glued Laminated Timber (Glulam) / AWC & CWC / 3-1/2"" Panel [Industry Avg | US & CA]","104.4","m²","100%","","FALSE","1,276","1,276","0","8,326","FALSE","Expired 2025; BfCA BioC calc by mass","T09|C02|S01|vd92kd"
"","Glued Laminated Timber (Glulam) / Structurlam / Glulam Plus  3-1/2"" Panel / BC","104.4","m²","100%","","FALSE","1,073","1,073","0","8,332","FALSE","Expired 2025; BfCA BioC calc by mass","T09|C02|S01|da1134"
"CROSS-LAMINATED TIMBER (CLT) FLOOR PANELS","","","","","","","","","","","","","T09|C02|S02"
"","Cross Laminated Timber (CLT) [BEAM Avg | US & CA]","104.4","m²","100%","","FALSE","1,105","1,105","0","7,465","FALSE","","T09|C02|S02|LAm00x"
"","Cross Laminated Timber (CLT) / Nordic  / Nordic Lam / 3-1/2""","104.4","m²","100%","","FALSE","1,265","1,265","0","7,293","FALSE","BfCA BioC calc by mass","T09|C02|S02|LAm010"
"","Cross Laminated Timber (CLT) / Vaagen / Crosslam CLT / 3-1/2""","104.4","m²","100%","","FALSE","1,263","1,263","0","7,102","FALSE","","T09|C02|S02|LAm009"
"","Cross Laminated Timber (CLT) / Structurlam / CrossLam / 3-1/2""","104.4","m²","100%","","FALSE","1,165","1,165","0","7,427","FALSE","Expired 2025; BfCA BioC calc by mass","T09|C02|S02|134c8d"
"","Cross Laminated Timber (CLT) / Kalesnikoff / 3-1/2""","104.4","m²","100%","","FALSE","1,156","1,156","0","8,734","FALSE","","T09|C02|S02|LAm008"
"","Cross Laminated Timber (CLT) / Element5 / Crosslam CLT / 3-1/2""","104.4","m²","100%","","FALSE","1,132","1,132","0","7,233","FALSE","","T09|C02|S02|LAm007"
"","Cross Laminated Timber (CLT) / Nordic  / X-Lam / 3-1/2""","104.4","m²","100%","","FALSE","649","649","0","7,003","FALSE","BfCA BioC calc by mass","T09|C02|S02|LAm011"
"DOWEL-LAMINATED TIMBER (DLT) FLOOR SYSTEM","","","","","","","","","","","","","T09|C02|S03"
"","Dowel Laminated Timber / StructureCraft / DowelLam / 3-1/2""","104.4","m²","100%","","FALSE","1,127","1,127","0","7,718","FALSE","Expired 2025","T09|C02|S03|c930d2"
"LIGHT WOOD FLOOR FRAMING","","","16.0","","","","","","","","","","T09|C03"
"WOOD I-JOIST FRAMING","","","","","","","","","","","","","T09|C03|S01"
"","Wood I joist / TJI 230/360 / 16"" Depth / AWC & CWC [Industry Avg | US & CA]","104.4","m²","100%","","FALSE","648","648","0","2,562","FALSE","Expired 2025","T09|C03|S01|f53d9a"
