"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Synthetic Stucco (Acrylic) / Sto / Stolit 1.0 & 1.0 Dark Colors (avg)","","01-001","Sto Corp.","Acrylic Stucco Textured Finish","Sto Corp.","Stolit 1.0 & 1.0 Dark Colors","","2024-12-18"
"Synthetic Stucco (Acrylic) / Sto / Stolit 1.5 & 1.5 Dark Colors (avg)","","01-001","Sto Corp.","Acrylic Stucco Textured Finish","Sto Corp.","Stolit 1.5 & 1.5 Dark Colors","","2024-12-18"
"Synthetic Stucco (Acrylic) / Sto / Stolit Freeform & Freeform Dark Colors (avg)","","01-001","Sto Corp.","Acrylic Stucco Textured Finish","Sto Corp.","Stolit Freeform & Freeform Dark Colors","","2024-12-18"
"Aerogel blanket / Aspen Aerogels / R9.6-inch","","S-P-00725 ","","Aerogel blanket","Aspen Aerogels","","R9.6/inch, White/Grey blanket","2020"
"Aggregate / NRMCA / US Average [Industry Avg]","","NRMCAEPD: 10020 ","NRMCA","Aggregate","NRMCA","","Avg construction aggregate (gravel & sand)","2023"
"Sheet Barrier Permeable / [BEAM Avg]","","","","Sheet barrier permeable","Database Average","","",""
"Sheet Barrier Moisture-Variable / [BEAM Avg]","","","","Sheet Barrier Moisture-Variable","Database Average","","",""
"Sheet barrier Non-Permeable / [BEAM Avg]","","","","Sheet barrier Non-Permeable ","Database Average","","",""
"Liquid Applied Barrier / [BEAM Avg]","","","","Liquid Applied Barrier","Database Average","","",""
"Self-Adhered Barrier / [BEAM Avg]","","","","Self-Adhered Barrier","Database Average","","",""
"Roof Deck Sheet Barrier / [BEAM Avg]","","","","Roof Deck Sheet Barrier","Database Average","","",""
"Roof Deck Liquid Applied Barrier / [BEAM Avg]","","","","Roof Deck Sheet Barrier","Database Average","","",""
"Ceiling Sheet Barrier / [BEAM Avg]","","","","Roof Deck Sheet Barrier","Database Average","","",""
"Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In Green 200 / Non-permeable / 0.35 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Vapor in Green 200","","2026"
"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Clima Control Net 160 / Moisture-variable / 0.5 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Clima Control Net 160","","2026"
"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Traspir EVO 160","","2026"
"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir Vapor 225 / Non-permeable / 0.8 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Traspir Vapor 225","","2026"
"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Traspir 110","","2026"
"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir EVO UV 210 / 41.7 Perms / 0.3 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Traspir EVO UV 210","","2026"
"Ext. Roof Barrier, sheet / Rothoblaas / Traspir Weld EVO 360 / 17.5 Perms / 1.0 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Traspir Weld EVO 360","","2026"
"Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU","","EPDIE-22-84","Partel","Adhesive barrier","Partel","Exoperm Mono SA 250","","2027"
"Ext. Wall & Roof Barrier, liquid applied / Carlisle / Barrithane VP / 11.1 Perms, 40 mils","","EPD10568","Carlisle Coatings & Waterproofing","Liquid applied barrier","Carlisle","Barrithane VP","40 mils","2026"
"Ext. Wall & Roof Barrier, sheet / Dupont / Tyvek Monolayer 60 / Permeable / EU","","EPD-DUP-20210183-IBC1-EN","DuPont de Nemours","Sheet barrier","Dupont","Tyvek Monolayer 60","","2026"
"Ext. Wall & Roof Barrier, sheet / Partel / Exoperm Mono 150 / Permeable / EU","","EPDIE-22-84","Partel","Sheet barrier","Partel","Exoperm Mono 150","","2027"
"Ext. Wall barrier, adhesive / GCP / Perm-a-Barrier / Non-permeable, 1 mm","","EPD10787","GCP","Adhesive barrier","GCP","Perm-a-Barrier","1 mm","2027"
"Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK 1100 T / Non-permeable / 1.0 mm","","EPD 509","Soprema Inc.","Adhesive barrier","Soprema","Sopraseal Stick 1100 T","","2028"
"Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK VP / 11-17 Perms / 0.6 mm","","EPD 512","Soprema Inc.","Adhesive barrier","Soprema","Sopraseal Stick VP","","2028"
"Ext. Wall Barrier, adhesive / Soprema / SOPRASOLIN HD (aluminum foil) / Non-permeable / 1.0 mm","","EPD 509","Soprema Inc.","Adhesive barrier","Soprema","Soprasolin HD","","2028"
"Ext. Wall Barrier, adhesive / Soprema / SOPRAVAP'R / Non-permeable / 0.8 mm","","EPD 509","Soprema Inc.","Adhesive barrier","Soprema","SOPRAVAP'R","","2028"
