ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
6ab68b,ACQ wood treatment,False,False,True,False,,"LCA, 2011",ACQ wood treatment,,,,,,US & CA,,174.0,1000 BF,0.8029533917858791,m2 surface area,m²,ft²,,,,,,,,,,,,,216.7,m2 surface area/1000 BF,,,,,,,,,,,,,,,"Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production",Journal LCA,,"Bolin & Smith, Journal of Cleaner Production",,,,,,,,,,,
STU00X,Synthetic Stucco (Acrylic) [BEAM Avg | US & CA],True,False,False,True,,,Acrylic Stucco Textured Finish,Sto Corp.,,,,,US & CA,2024-03-15 00:00:00,,,37.5,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,,BEAM Average,,,,,,,,,,,,,
5caf85,Synthetic Stucco (Acrylic) / Sto / Stolit 1.0 & 1.0 Dark Colors (avg),True,False,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit 1.0 & 1.0 Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,28.8,m²,28.8,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
f93xa0,Synthetic Stucco (Acrylic) / Sto / Stolit 1.5 & 1.5 Dark Colors (avg),True,False,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit 1.5 & 1.5 Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,32.8,m²,32.8,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
21dw0f,Synthetic Stucco (Acrylic) / Sto / Stolit Freeform & Freeform Dark Colors (avg),True,False,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Freeform & Freeform Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,50.9,m²,50.9,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-001,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
1fkf0c,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan 1.0 & 1.0 Dark Colors (avg),False,True,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan 1.0 & 1.0 Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,29.5,m²,29.5,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
yds03d,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan 1.5 & 1.5 Dark Colors (avg),False,True,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan 1.5 & 1.5 Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,34,m²,34,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
v0w92k,Synthetic Stucco (Acrylic) / Sto / Stolit Lotusan Freeform & Freeform Dark Colors (avg),False,True,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Acrylic Stucco Textured Finish,Sto Corp.,Stolit Lotusan Freeform & Freeform Dark Colors,,avg of both,US,US & CA,2022-04-27 00:00:00,51.7,m²,51.7,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Acrylic,Limestone & Silica,Cladding,Synthetic,,01-002,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
xsp4tl,Stucco Base coat / Sto / BTS Plus – adhered over rough masonry concrete & CMUs,False,True,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Stucco base coat,Sto Corp.,BTS Plus,"Sto BTS Plus is a one-component, polymer-modified, cement based, dry powder material used as an adhesive and base coat in Sto Wall Claddings, including StoTherm ci Classic and StoTherm ci Lotusan Systems.",,US,US & CA,2022-04-27 00:00:00,38.6,m²,38.6,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Cement-based,Polymer-modified,Cladding,Basecoat,,01-004,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
p9dbo4,Stucco Base coat / Sto / BTS Plus – adhered over average (flat) substrate,False,True,False,False,2024-12-18 00:00:00,Expired 2024-12-18,Stucco base coat,Sto Corp.,BTS Plus,"Sto BTS Plus is a one-component, polymer-modified, cement based, dry powder material used as an adhesive and base coat in Sto Wall Claddings, including StoTherm ci Classic and StoTherm ci Lotusan Systems.",,US,US & CA,2022-04-27 00:00:00,13.5,m²,13.5,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,Cement-based,Polymer-modified,Cladding,Basecoat,,01-004,Product-specific,Sto Corp.,Epsen Group,,External,WAP Sustainability Consulting,,,,GaBi 9.2.0.58,"GaBi Database Version 8.7, Service Pack 39",10.0,,
199253,Aerogel blanket / Aspen Aerogels / R9.6-inch,True,False,False,False,2020.0,Expired 2020,Aerogel blanket,Aspen Aerogels,,"R9.6/inch, White/Grey blanket",,,US,,12.3,1m2 @ 10 mm,18.45,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,150.0,kg/m3,,,9.614746666666667,0.015,,,,,,,,Aerogel,,Insulation,Batt & Blanket,,S-P-00725 ,Product-specific,,Renuables,,,,,,,,,,,
2c53be,Aggregate / NRMCA / US Average [Industry Avg],True,False,True,False,2023.0,Expired 2023,Aggregate,NRMCA,,Avg construction aggregate (gravel & sand),,,US,,9.52,MT,16.01264,m³,m³,ft³,,,,,,,,,,,1682.0,kg/m3,,,,,,,,,,,,Aggregate,Stone & Sand,Construction aggregate,Crushed Stone,,NRMCAEPD: 10020 ,Industry average,NRMCA,Athena,,,,,,,,,,,
SBP00X,Sheet Barrier Permeable / [BEAM Avg],True,False,False,True,,,Sheet barrier permeable,Database Average,,,,,,2024-03-21 00:00:00,,,0.725,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SBM00X,Sheet Barrier Moisture-Variable / [BEAM Avg],True,False,False,True,,,Sheet Barrier Moisture-Variable,Database Average,,,,,,2024-03-21 00:00:00,,,0.7147571429,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SBNP0X,Sheet barrier Non-Permeable / [BEAM Avg],True,False,False,True,,,Sheet barrier Non-Permeable ,Database Average,,,,,,2024-03-21 00:00:00,,,0.5848571429,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
LAB00X,Liquid Applied Barrier / [BEAM Avg],True,False,False,True,,,Liquid Applied Barrier,Database Average,,,,,,2024-03-21 00:00:00,,,5.164285714,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SAB00X,Self-Adhered Barrier / [BEAM Avg],True,False,False,True,,,Self-Adhered Barrier,Database Average,,,,,,2024-03-21 00:00:00,,,2.548714286,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
RSB00X,Roof Deck Sheet Barrier / [BEAM Avg],True,False,False,True,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21 00:00:00,,,0.7837142857,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
RLB00X,Roof Deck Liquid Applied Barrier / [BEAM Avg],True,False,False,True,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21 00:00:00,,,6.775,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
CSB00X,Ceiling Sheet Barrier / [BEAM Avg],True,False,False,True,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21 00:00:00,,,0.6214818182,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
bbb000,"Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In Green 200 / Non-permeable / 0.35 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Vapor in Green 200,,,EU,EU,2024-01-27 00:00:00,0.415,m²,0.415,m²,m²,ft²,0.178,,,0.1602,m2,,,,,0.9,200.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb001,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Clima Control Net 160 / Moisture-variable / 0.5 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Clima Control Net 160,,,EU,EU,2024-01-27 00:00:00,0.936,m²,0.936,m²,m²,ft²,,,,,,,,,,,160.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb002,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Traspir EVO 160,,,EU,EU,2024-01-27 00:00:00,0.633,m²,0.633,m²,m²,ft²,,,,,,,,,,,160.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb003,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir Vapor 225 / Non-permeable / 0.8 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Traspir Vapor 225,,,EU,EU,2024-01-27 00:00:00,0.704,m²,0.704,m²,m²,ft²,,,,,,,,,,,225.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb004,"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Traspir 110,,,EU,EU,2024-01-27 00:00:00,0.319,m²,0.319,m²,m²,ft²,,,,,,,,,,,112.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb005,"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir EVO UV 210 / 41.7 Perms / 0.3 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Traspir EVO UV 210,,,EU,EU,2024-01-27 00:00:00,1.37,m²,1.37,m²,m²,ft²,,,,,,,,,,,210.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb006,"Ext. Roof Barrier, sheet / Rothoblaas / Traspir Weld EVO 360 / 17.5 Perms / 1.0 mm / EU",True,False,False,False,2026.0,,Sheet barrier,Rothoblaas,Traspir Weld EVO 360,,,EU,EU,2024-01-27 00:00:00,1.584,m²,1.584,m²,m²,ft²,,,,,,,,,,,360.0,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb007,"Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU",True,False,False,False,2027.0,,Adhesive barrier,Partel,Exoperm Mono SA 250,,,EU,EU,2024-01-28 00:00:00,0.811,m²,0.811,m²,m²,ft²,,,,,,,,,,,250.0,g/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPDIE-22-84,Product-specific,Partel,Ecoreview,Irish Green Building Council,External,"Chris Foster, EuGeos SRL",EN 15804:2012+A2:2019,EN 15804:2012+A2:2020,,Echochain 3.5.13,Ecoinvent3.6,,,
bbb008,"Ext. Wall & Roof Barrier, liquid applied / Carlisle / Barrithane VP / 11.1 Perms, 40 mils",True,False,False,False,2026.0,,Liquid applied barrier,Carlisle,Barrithane VP,40 mils,,US,US & CA,2024-01-27 00:00:00,5.18,m²,5.18,m²,m²,ft²,,,,,,,,,,,1.498,m2/kg,,,,,,,,,,,,Barrier,Liquid applied,Barrier,Liquid applied,,EPD10568,Product-specific,Carlisle Coatings & Waterproofing,intertek sustainability,NSF,External,"Jack Geibig, Ecoform",ISO 14044,Water-resistive and air barriers,Traci 2.1,Simapro 9.01,Ecoinvent 3.6,,,
bbb009,"Ext. Wall & Roof Barrier, sheet / Dupont / Tyvek Monolayer 60 / Permeable / EU",True,False,False,False,2026.0,,Sheet barrier,Dupont,Tyvek Monolayer 60,,,EU,EU,2024-01-20 00:00:00,0.281,m2,0.281,m2,m²,ft²,,,,,,,,,,,0.058,kg/m2,,,,,,,,,,,,HDPE,Barrier,Air Barrier,,,EPD-DUP-20210183-IBC1-EN,Product-specific,DuPont de Nemours,"Hans Peters, IBU",IBU,External,Vito D'Incognito,,EN 15804 + A2,,GaBi 10.5.0.78,GaBi 10.5.0.79,30.0,,
