"","","","","ID for →","Materials options by VOLUME – m³","ID for →","Material options by SURFACE AREA – m²","ID for →","Material options by Length - m","ID for →","Material options by R-VALUE & AREA - m²•RSI","","Province/State","Country","USER INPUT Building Type","Construction Type","Construction Stage","Purpose of Evaluation","List of countries","Province for Country Selected","","Sheet Name","Text Color","BG Color","Full Sheet Name"
"","","","","2c53be","Aggregate / NRMCA / US Average [Industry Avg]","6ab68b","ACQ wood treatment","541b20","Helical pier / Generic / 3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 Galvanized steel [Industry Avg]","199253","Aerogel blanket / Aspen Aerogels / R9.6-inch","","Alberta","Canada","Single Detached House","New Construction","Pre-Design","Not specific / General curiosity","Canada","Alabama","","PROJECT","#ffffff","#3f3f3f","PROJECT"
"","","","","BAM001","Bamboo Glulam / Lamboo / Structural Grade Product Systems","STU00X","Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","S12345","Ground screw / American Ground Screw / AGS IM3316 / 76 x 1600 mm","967ad6","Cellulose / batt / CMS / EcoCell / R 3.6-inch","","British Columbia","Canada","Semi-Detached House","Off-site Prefabrication","Schematic Design","Project Design & Material Selection","United States","Alaska","","Footings & Slabs","#ffffff","#d2e790","FOOTINGS & SLABS"
"","","","","BAM006","Bamboo beams / MOSO / Bamboo Solid Beams / High Density","5caf85","Synthetic Stucco (Acrylic) / Sto / Stolit 1.0 & 1.0 Dark Colors (avg)","S12346","Ground screw / American Ground Screw / AGS IM4516 / 114 x 1600 mm","Cel000","Cellulose / batt / Ekovilla / Ekovilla Slab / R3.7-inch [EU]","","Manitoba","Canada","Townhouse (single unit)","Interior Renovation","Design Development","Research - Project-specific","Afghanistan","Arizona","","Foundation Walls","#3f3f3f","#bcdb59","FOUNDATION WALLS"
"","","","","7de1da","Concrete – 0-25 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","f93xa0","Synthetic Stucco (Acrylic) / Sto / Stolit 1.5 & 1.5 Dark Colors (avg)","S12347","Ground screw / Krinner / E-Series E89x1000-E60 / 89 x 1000 mm [EU]","fc7d3a","Cellulose / dense pack / CIMA / R 3.7-inch / [Industry Avg | US & CA]","","New Brunswick","Canada","Townhouse (all units)","Shell Renovation","Construction Documents","Research - Multi-project Scope","Albania","Arkansas","","Structural Elements","#3f3f3f","#d2e790","STRUCTURAL ELEMENTS"
"","","","","4e0f8a","Concrete – 0-25 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","21dw0f","Synthetic Stucco (Acrylic) / Sto / Stolit Freeform & Freeform Dark Colors (avg)","S12348","Ground screw / Krinner / E-Series E140x1600-E76-100 / 140 x 1600 mm [EU]","1ca576","Cellulose / loose fill / CIMA / R 3.7-inch / [Industry Avg | US & CA] ","","Newfoundland and Labrador","Canada","Apartment (single unit)","Energy Retrofit","Permits & Contracts","Research - other","Algeria","California","","Ext. Walls","#ffffff","#c67720","EXTERIOR WALLS"
"","","","","e72bcd","Concrete – 0-25 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","SBP00X","Sheet Barrier Permeable / [BEAM Avg]","REB000","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / 10M","Cel001","Cellulose / dense pack / Advanced Fiber Technology / AFT Carbon Smart / 56 kg/m3 / R3.8-inch ","","Northwest Territories","Canada","Apartment (all units)","Other","Materials Procurement","Project Certification","American Samoa","Colorado","","Party Walls","#ffffff","#946fbf","PARTY WALLS"
"","","","","6ed061","Concrete – 0-25 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","SBM00X","Sheet Barrier Moisture-Variable / [BEAM Avg]","REB001","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / 15M","Cel003","Cellulose / loose fill / Advanced Fiber Technology / AFT Carbon Smart / 25.2 kg/m3 / R3.8-inch","","Nova Scotia","Canada","Office","","Construction in Progress","Education","Andorra","Connecticut","","Cladding","#3f3f3f","#7bc8d0","EXTERIOR WALL CLADDING"
"","","","","d873ca","Concrete – 0-25 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","SBNP0X","Sheet barrier Non-Permeable / [BEAM Avg]","REB002","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / 20M","Cel002","Cellulose / dense pack / Greenfiber / Sanctuary / Avg of all facilties / 56.1 kg/m3 / R3.8-inch ","","Nunavut","Canada","Educational","","Construction Complete","High School Education","Angola","Delaware","","Windows","#3f3f3f","#d3ecef","WINDOWS"
"","","","","b069b6","Concrete – 0-25 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","LAB00X","Liquid Applied Barrier / [BEAM Avg]","REB003","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #3","cel004","Cellulose / loose fill / Greenfiber / Sanctuary / Avg of all facilties / 17.1 kg/m3 / R3.8-inch ","","Ontario","Canada","Religious","","Other","University/College Education","Argentina","District of Columbia","","Int. Walls","#3f3f3f","#83cc9f","INTERIOR WALLS"
"","","","","897eab","Concrete – 26-30 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","SAB00X","Self-Adhered Barrier / [BEAM Avg]","REB004","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #4","5231c8","Cellulose / spray applied / International Cellulose Corp. / K-13, ThermoCon / R 3.75-inch","","Prince Edward Island","Canada","Institutional","","","Post-Graduate Education","Armenia","Florida","","Floors","#ffffff","#666666","FLOORS"
"","","","","be7b88","Concrete – 26-30 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","RSB00X","Roof Deck Sheet Barrier / [BEAM Avg]","REB005","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #5","STRABX","Straw Board / R 2.0-inch [BEAM Avg] ","","Quebec","Canada","Commercial","","","Workplace Education","Australia","Georgia","","Ceilings","#3f3f3f","#a5a5a5","CEILINGS"
"","","","","38d491","Concrete – 26-30 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","RLB00X","Roof Deck Liquid Applied Barrier / [BEAM Avg]","REB006","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #6","INS001","Compressed straw board / Ekopanely / Ekopanel E60-1200 / 60 mm / R1.45-inch [EU]","","Saskatchewan","Canada","Hospitality","","","Other","Austria","Hawaii","","Roof","#3f3f3f","#dadada","ROOF"
"","","","","a6839d","Concrete – 26-30 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","CSB00X","Ceiling Sheet Barrier / [BEAM Avg]","REB007","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #7","INS002","Compressed straw board/ Ekopanely / Ekopanel E40-800 / 40 mm / R1.45-inch [EU]","","Yukon","Canada","Industrial","","","","Azerbaijan","Idaho","","Garage","#ffffff","#45818e","GARAGE"
"","","","","814de3","Concrete – 26-30 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","bbb000","Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In Green 200 / Non-permeable / 0.35 mm / EU","REB008","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #8","INS000","Straw board / VestaEco Straw Insulation Boards 140 / R 4-inch  [EU]","","Alabama","United States","Agricultural","","","","Bahamas","Illinois","","","","",""
"","","","","b1d6d5","Concrete – 26-30 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","bbb001","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Clima Control Net 160 / Moisture-variable / 0.5 mm / EU","l2jfis","Rebar / Nucor Corporation / 10M","CBI000","Cork board insulation / Amorim  / Expanded Insulation Corkboard (ICB) / R3.6-inch, 115 kg/m3 [EU]","","Alaska","United States","Data centre","","","","Bahrain","Indiana","","","","",""
"","","","","dad6dc","Concrete – 31-35 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","bbb002","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU","a03cls","Rebar / Nucor Corporation / 15M","INS010","Grass Insulation / Gramitherm 100 batt / R3.5-inch [EU]","","Arizona","United States","Recreational","","","","Bangladesh","Iowa","","REVIEW","#3f3f3f","#ffff65","REVIEW"
"","","","","ad41fc","Concrete – 31-35 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","bbb003","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir Vapor 225 / Non-permeable / 0.8 mm / EU","sdf38s","Rebar / Nucor Corporation / 20M","EPS003","EPS foam board / Type I / R 3.6-inch, 10 psi / EPS Industry Alliance [Industry Avg | US & CA]","","Arkansas","United States","Mixed use","","","","Barbados","Kansas","","RESULTS","#3f3f3f","#92d050","RESULTS"
"","","","","cfa664","Concrete – 31-35 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","bbb004","Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU","fdk49v","Rebar / Nucor Corporation / #3","EPS002","EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]","","California","United States","Other","","","","Belarus","Kentucky","","","","",""
