beam_id,epd_id,ID,Display Name,Stated kgCO2e/unit,GWP units per,GWP/common unit,Common unit,GWP-bio from EPD,Biogenic Storage,Carbon content kgC/unit,Full C value,Storage % Reduction,Density,Density Units,Addnl factor,Addnl factor units,EPD ID,EPD Type,EPD Program/Operator,Service Life (yr)
15e087,,15e087,"SIP panel - R23 6.5"" - EPS 5.5"" @ R4/in. core, 2 sheets 1/2"" OSB",,,20.77,m²,,,,,,,,,,,,,
47032e,,47032e,"SIP panel - R48 12-7/8"" - EPS 11-7/8"" @ R4/in. core, 2 sheets 1/2"" OSB",,,37.7,m²,,,,,,,,,,,,,
5712f2,,5712f2,"WOOD CHIP CEMENT ICF 12"" R-22 with MINERAL WOOL INSERTS, (3 in. @ R4.2/in.), 15M REBAR",,,99.31,m²,,58.86,,,,,,,,,,,
5e22ee,,5e22ee,"SIP panel - EPS foam core / 7/16"" OSB, Type II EPS",,,655.33,"m2 at 1""",,,,,,,,,,,,,
6d2eca,,6d2eca,"Straw bale infill with wood framing (SIP) / R-46 / 14"" / double 2x4 @ 30"" o/c",,,5.52,m²,,72.41,,,,,,,,,,,
707a65,,707a65,"WOOD CHIP CEMENT ICF 14"" R-28 with MINERAL WOOL INSERTS (5 in. @ R4.2/in.), 15M REBAR",,,119.39,m²,,65.06,,,,,,,,,,,
7b40de,,7b40de,"SIP panel - R30 8.25"" - EPS 7.25"" @ R4/in. core, 2 sheets 1/2"" OSB",,,25.42,m²,,,,,,,,,,,,,
7bc57a,,7bc57a,Masonry Mortar Mix / 1 part Masonry cement / 3 parts avg sand,66.75,m3,66.75,m3,,,,,,375,kg/m3 masonry cement,960,kg/m3 sand,,,,
81f1a7,,81f1a7,"SIP panel - R38 10.5"" - EPS 9.5"" @ R4/in. core, 2 sheets 1/2"" OSB",,,31.39,m²,,,,,,,,,,,,,
8ad79d,,8ad79d,"TREATED WOOD FOUNDATION - 2x8 framing @ 16"" OC, 3/4"" plywood sheathing",,,8.69,m²,,,,,0.9,,,,,,,,
BAM00X,,BAM00X,Bamboo Cladding [BEAM Avg],,,32.03,m²,,27.01,,,,1059.75,kg/m3,,,,beam_average,,
BAM01X,,BAM01X,Bamboo Flooring [BEAM Avg],,,8.25,m²,,26.45,,,,933.3333333,kg/m3,,,,beam_average,,
BRI00X,,BRI00X,Thin Veneer Brick [BEAM Avg | US & CA],,,10.44,m²,,,,,,269,kgCO2/m3 mortar,,"83% brick, 17% mortar",,beam_average,,
CAR00x,,CAR00x,Carpet / [BEAM Avg],,,12.04,m²,,,,,,,,,,,beam_average,,
CSB00X,,CSB00X,Ceiling Sheet Barrier / [BEAM Avg],,,0.62,m²,,,,,,,,,,,beam_average,,
FIB00X,,FIB00X,Fiber Cement siding [BEAM Avg],,,8.28,m²,,1.63,,,,11.1,kg/m3,,,,beam_average,,
HTW00X,,HTW00X,Heat Treated Wood Cladding [BEAM Avg],,,7.74,m²,,,,,,428.75,kg/m3,,,,beam_average,,
LAB00X,,LAB00X,Liquid Applied Barrier / [BEAM Avg],,,5.16,m²,,,,,,,,,,,beam_average,,
