beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
9d6057,075/2018,,,,,,,2023-08-30,,Reflective roof coating,Selena Group,COOL-R,SRI 107,,Poland,EU,,1.12,kg,,,,,,,,,,,,,,,,,2.300,kg/m2,,,,,,,,,,,,,,,075/2018,Product-specific,,Instytut Techniki Budowlanej (ITB),,,,,,,,,,
541b20,11345278.101.1,,,,,,,2021,,Helical pier,Generic,,"3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 STD Galvanized steel",,,,,1.48,kg,,,,,,,,,,,,,,,7800,kg/m3,11.908,kg/m,,,,,,,,,,,,,,,11345278.101.1,Industry average,,UL Environment,,,,,,,,,,
CMU007,176277033092021,,,,,,,2026-10-01,,Compressed earth block wall,Briques Technic Concept - Cycle terre,Stabilized with 0.2% NHL - 2.2% CEM III,"100mm (4"") width, incl. mortar",,EU,EU,,4.5,m2,,,,,,,,,,,,,,,160.053,kg/m2 @ 0.1m width,,20.277,kg of mortar/m2 blocks@ 0.1m width,,,,,,0.100,,,Earth Block,,,,,176277033092021,Industry average,BRIQUES TECHNIC CONCEPT,Esteana,Agence Française de Normalisation (AFNOR),External,"Sébastien Lasvaux, LESBAT","NF EN ISO 14025, NF EN 15804+A1, NF EN 15804/CN",Norme NF EN 15804+A1 - NF EN 15804/CN.,,,,100,
www118,200,,,,,,,2026,,"Window, aluminum frame",Arcadia,"CV200, T200",Double pane,,US,US & CA,,125,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double pane window,,,,,200,Product-specific,Arcadia,Four Elements Consulting,ASTM,External,"Tom Gloria, Industrial Ecology Consultants",ISO 21930,Earthsure cradle to gate window product category rule 30171600-2016,TRACI 2.1,SimaPro,"US LCI, DATASMART, EcoInvent",,
bbb000,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Vapor in Green 200,,,EU,EU,,0.4,m²,,,,,0.178,,,,,,,,,,200,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb001,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Clima Control Net 160,,,EU,EU,,0.9,m²,,,,,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb002,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir EVO 160,,,EU,EU,,0.6,m²,,,,,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb003,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir Vapor 225,,,EU,EU,,0.7,m²,,,,,,,,,,,,,,,225,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb004,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir 110,,,EU,EU,,0.3,m²,,,,,,,,,,,,,,,112,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb005,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir EVO UV 210,,,EU,EU,,1.4,m²,,,,,,,,,,,,,,,210,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
