beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
9d6057,075/2018,,,,,,,,,,Selena FM S.A.,,,,,,,847,1 ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External,"the independent body according to ISO 14025. Basically, a comparison or evaluation of EPD data is possible only if all","ISO 14025, ISO 21930, EN 15804",,,,Ecoinvent,10,
541b20,11345278.101.1,,,,,,,,,,The American Galvanizers Association,,,,,,,1.48,The declared unit for this EPD is one metric ton of galvanized structural steel product. Note that comparison of EPD,,,,,,,,,,,,,,,7800,kg/m3,,,,,,,,,,,,Steel,,,,,11345278.101.1,,,thinkstep,UL Environment,,,"ISO 14025, ISO 21930:2007, ISO 14040","North American PCR for Designated Steel Construction Products, SCS, v1.0, 2015",TRACI 2.1,GaBi 2016,,,
CMU007,176277033092021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISO 14025, EN 15804+A1",,,,Ecoinvent V3.5,,
www118,200,,,,,,,2026-04-11,,,Arcadia Inc.,,,,,,,131.07,is one square meter (1 m ) of a window. A functional unit is not reported since the,,,,,,,,,,,,,,,2800,kg/m3,,,,,,,,,,,,Aluminum,,,,,200,,,"Four Elements Consulting, LLC",ASTM International,External,,"ISO 14025, ISO 21930, EN 15804, ISO 14040",Earthsure Cradle to Gate Window Product Category Rule,,was used to model the window. Data came from sources appropriate for,EcoInvent,,
bbb000,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb001,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb002,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb003,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb004,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb005,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb006,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb029,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
bbb030,2021M20141,,,,,,,2026-07-22,,,,,,,,worlwide according to sales market conditions.,,0.0082325,1 m2,,,,,0.006814900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021M20141,,ROTHO BLAAS SRL,thinkstep,IBU,External,ICMQ SpA. via De Castillia. 10 20124 Milano,"ISO 14025, EN 15804:2012, ISO 14040",Requirements on the EPD for Ceramic tiles and panels.,,GaBi,GaBi professional,50,
CMU006,20220329507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISO 14025, EN 15804+A1",,,,Ecoinvent V3.5,,
