beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,row_coverage_pct,mismatch_detail
9d6057,075/2018,—,—,—,—,—,—,MISMATCH,—,MISMATCH,MISMATCH,MISMATCH,MISMATCH,—,MATCH,MISMATCH,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,MISMATCH,—,—,—,—,—,—,—,—,—,—,7.1%,"EPD Expiry: beam=""2023-08-30"" pdf=∅ | Material: beam=""Reflective roof coating"" pdf=∅ | Manufacturer: beam=""Selena Group"" pdf=""Selena FM S.A."" | Product Brand Name: beam=""COOL-R"" pdf=∅ | Specifications: beam=""SRI 107"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=∅ | Stated EPD kgCO2e / unit: beam=""1.12"" pdf=""847"" | GWP units kgCO2e per: beam=""kg"" pdf=""1 ton"" | Addn'l factors: beam=""2.300"" pdf=∅ | Addn'l factor units: beam=""kg/m2"" pdf=∅ | EPD ID: beam=""075/2018"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""Instytut Techniki Budowlanej (ITB)"" pdf=∅"
541b20,11345278.101.1,—,—,—,—,—,—,MISMATCH,—,MISMATCH,MISMATCH,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MATCH,MATCH,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MATCH,MISMATCH,—,MISMATCH,—,—,—,—,—,—,—,—,—,—,30.8%,"EPD Expiry: beam=""2021"" pdf=∅ | Material: beam=""Helical pier"" pdf=∅ | Manufacturer: beam=""Generic"" pdf=""The American Galvanizers Association"" | Specifications: beam=""3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 m"" pdf=∅ | GWP units kgCO2e per: beam=""kg"" pdf=""The declared unit for this EPD is one me"" | Addn'l factors: beam=""11.908"" pdf=∅ | Addn'l factor units: beam=""kg/m"" pdf=∅ | EPD Type: beam=""Industry average"" pdf=∅ | EPD/LCA Prepared by: beam=""UL Environment"" pdf=""thinkstep"""
CMU007,176277033092021,—,—,—,—,—,—,MISMATCH,—,MISMATCH,MISMATCH,MISMATCH,MISMATCH,—,MISMATCH,MISMATCH,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,MISMATCH,MISMATCH,—,—,—,—,—,MISMATCH,—,—,MISMATCH,—,—,—,—,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MISMATCH,—,—,—,MISMATCH,—,0.0%,"EPD Expiry: beam=""2026-10-01"" pdf=∅ | Material: beam=""Compressed earth block wall"" pdf=∅ | Manufacturer: beam=""Briques Technic Concept - Cycle terre"" pdf=∅ | Product Brand Name: beam=""Stabilized with 0.2% NHL - 2.2% CEM III"" pdf=∅ | Specifications: beam=""100mm (4"") width, incl. mortar"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=∅ | Stated EPD kgCO2e / unit: beam=""4.5"" pdf=∅ | GWP units kgCO2e per: beam=""m2"" pdf=∅ | Density: beam=""160.053"" pdf=∅ | Density Units: beam=""kg/m2 @ 0.1m width"" pdf=∅ | Addn'l factor units: beam=""20.277"" pdf=∅ | R-value / inch: beam=""kg of mortar/m2 blocks@ 0.1m width"" pdf=∅ | Depth (m): beam=""0.100"" pdf=∅ | Material Type: beam=""Earth Block"" pdf=∅ | EPD ID: beam=""176277033092021"" pdf=∅ | EPD Type: beam=""Industry average"" pdf=∅ | EPD Owner: beam=""BRIQUES TECHNIC CONCEPT"" pdf=∅ | EPD/LCA Prepared by: beam=""Esteana"" pdf=∅ | EPD Program / Operator: beam=""Agence Française de Normalisation (AFNOR"" pdf=∅ | Internal/External Validation: beam=""External"" pdf=∅ | EPD Verifying Agent: beam=""Sébastien Lasvaux, LESBAT"" pdf=∅ | EPD Standards: beam=""NF EN ISO 14025, NF EN 15804+A1, NF EN 1"" pdf=""ISO 14025, EN 15804+A1"" | EPD PCR Guidelines: beam=""Norme NF EN 15804+A1 - NF EN 15804/CN."" pdf=∅ | Product Service Life (Years): beam=""100"" pdf=∅"
www118,200,—,—,—,—,—,—,MATCH,—,MISMATCH,MATCH,MISMATCH,MISMATCH,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,MATCH,—,—,45.5%,"Material: beam=""Window, aluminum frame"" pdf=∅ | Product Brand Name: beam=""CV200, T200"" pdf=∅ | Specifications: beam=""Double pane"" pdf=∅ | Countries of Manufacture: beam=""US"" pdf=∅ | Markets of Applicability: beam=""US & CA"" pdf=∅ | Stated EPD kgCO2e / unit: beam=""125"" pdf=""131.07"" | Material Type: beam=""Double pane window"" pdf=""Aluminum"" | EPD Type: beam=""Product-specific"" pdf=∅ | EPD Owner: beam=""Arcadia"" pdf=∅ | EPD Verifying Agent: beam=""Tom Gloria, Industrial Ecology Consultan"" pdf=∅ | LCA Method: beam=""TRACI 2.1"" pdf=∅ | EPD LCA Software: beam=""SimaPro"" pdf=""was used to model the window. Data came """
bbb000,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,MISMATCH,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,34.8%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Vapor in Green 200"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""0.4"" pdf=""0.0082325"" | GWP-bio from EPD: beam=""0.178"" pdf=""0.006814900000000002"" | Density: beam=""200"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
bbb001,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,36.4%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Clima Control Net 160"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""0.9"" pdf=""0.0082325"" | Density: beam=""160"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
bbb002,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,36.4%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Traspir EVO 160"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""0.6"" pdf=""0.0082325"" | Density: beam=""160"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
bbb003,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,36.4%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Traspir Vapor 225"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""0.7"" pdf=""0.0082325"" | Density: beam=""225"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
bbb004,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,36.4%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Traspir 110"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""0.3"" pdf=""0.0082325"" | Density: beam=""112"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
bbb005,2021M20141,—,—,—,—,—,—,MATCH,—,MISMATCH,MISMATCH,MISMATCH,—,—,MISMATCH,MISMATCH,—,MISMATCH,MATCH,—,—,—,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,MISMATCH,—,—,—,—,—,—,—,—,—,—,—,MISMATCH,—,—,—,—,MATCH,MISMATCH,MATCH,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,—,MATCH,MISMATCH,—,—,36.4%,"Material: beam=""Sheet barrier"" pdf=∅ | Manufacturer: beam=""Rothoblaas"" pdf=∅ | Product Brand Name: beam=""Traspir EVO UV 210"" pdf=∅ | Countries of Manufacture: beam=""EU"" pdf=∅ | Markets of Applicability: beam=""EU"" pdf=""worlwide according to sales market condi"" | Stated EPD kgCO2e / unit: beam=""1.4"" pdf=""0.0082325"" | Density: beam=""210"" pdf=∅ | Density Units: beam=""g/m2"" pdf=∅ | Material Type: beam=""Barrier"" pdf=∅ | EPD Type: beam=""Product-specific"" pdf=∅ | EPD/LCA Prepared by: beam=""EPDITALY"" pdf=""thinkstep"" | EPD Program / Operator: beam=""Sphera"" pdf=""IBU"" | EPD PCR Guidelines: beam=""PCR ICMQ-001/15 rev 3.0"" pdf=""Requirements on the EPD for Ceramic tile"" | EPD LCI Database: beam=""GaBi DB 2021.1"" pdf=""GaBi professional"""
