ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
2c53be,Aggregate / NRMCA / US Average [Industry Avg],TRUE,FALSE,TRUE,FALSE,2023,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G2),IF(G2<TODAY(),""""Expired """"&TO_TEXT(G2),),ISNUMBER(G2), IF(G2<YEAR(TODAY()),""""Expired """"&G2,),ISBLANK(G2),)""),""Expired 2023"")",Aggregate,NRMCA,,Avg construction aggregate (gravel & sand),,,US,,9.52,MT,=Q2*AG2/1000,m³,m³,ft³,,,,,,,,,,,1682,kg/m3,,,,,,,,,,,,Aggregate,Stone & Sand,Construction aggregate,Crushed Stone,,NRMCAEPD: 10020 ,Industry average,NRMCA,Athena,,,,,,,,,,,
15067d,[Replaced] Asphalt Shingles [Industry Avg | US & CA],FALSE,TRUE,TRUE,FALSE,2021,Expired 2021,Asphalt Shingles,"Includes: Atlas, BP, CertainTeed, GAF, IKO, Malarkey, Owens Corning, Pabco",,,Incl. underlayment,,US & CA,,5.1,m²,5.1,m²,m²,ft²,,,,,,,,,,,12.7,kg/m2,,,,,,,,,,,,,,,,,4787168709.101.1 ,Industry average,,UL Environment,,,,,,,,,,,
RRR110,Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,2028,,Asphalt Shingles,"Includes: Atlas, CertainTeed, GAF, IKO, Pabco, Tamko",Fiberglass Asphalt Shingles,,"Includes: Atlas, CertainTeed, GAF, IKO, Pabco, Tamko",US & CA,US & CA,45328,4.38,m²,4.38,m²,m²,ft²,,,,,,,,,,,12.39,kg/m2,,,,,,,,,,,,Asphalt Shingle,,Roofing,Shingle,,4789862118.111.1,Industry average,Asphalt Roofing Manufacturers Association,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 14044,"Asphalt shingles, ULE 2021",TRACI 2.1,LCA for Experts v10.7,"Managed LCA Content, 2022.2",,https://drive.google.com/file/d/1QrU6LZru7GSd4YxLC5hJk_gsnF7g-6CW/view?usp=drive_link,
84c2b6,"Brick, Clay, Generic Modular / Bricks by Volume (no mortar) / Brick Industry Association / [Industry Avg | US-Canada]",FALSE,TRUE,TRUE,FALSE,45936,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G5),IF(G5<TODAY(),""""Expired """"&TO_TEXT(G5),),ISNUMBER(G5), IF(G5<YEAR(TODAY()),""""Expired """"&G5,),ISBLANK(G5),)""),""Expired 2025-10-06"")","Brick, Clay, Generic Modular",Brick Industry Association,US-Canada Industry Average,GWP by volume,"Use outer dimensions of brick, ignore voids",,US & CA,44956,503,m3 of brick,503,m³,m³,ft³,,,,,,,,,,,2120,kg/m3,,,,,,,,,,,,,,Cladding,Brick,,EPD10447,Industry average,Brick Industry Association,PRé Consultants,NSF,,"Terrie Boguski, Harmony Environmental",,,,,,,,
e73378,"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]",TRUE,FALSE,TRUE,FALSE,45936,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G6),IF(G6<TODAY(),""""Expired """"&TO_TEXT(G6),),ISNUMBER(G6), IF(G6<YEAR(TODAY()),""""Expired """"&G6,),ISBLANK(G6),)""),""Expired 2025-10-06"")","Brick, Clay, Generic Modular",Brick Industry Association,US-Canada Industry Average,"3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar",,,US & CA,44956,503,m3 of brick,47.24844,m²,m²,ft²,,,,,,,,,,,269,kgCO2/m3 mortar,,"83% brick, 17% mortar",,,,,0.203,0.102,0.07,0.00144942,,,,Cladding,Brick,,EPD10447,Industry average,Brick Industry Association,PRé Consultants,NSF,,"Terrie Boguski, Harmony Environmental",,,,,,,,
n93fd1,"Stone Cladding, incl. mortar & ties / Natural Stone Institute / Includes limestone, granite, marble, quartzite, sandstone  [Industry Avg | US & CA] ",TRUE,FALSE,TRUE,FALSE,46691,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G7),IF(G7<TODAY(),""""Expired """"&TO_TEXT(G7),),ISNUMBER(G7), IF(G7<YEAR(TODAY()),""""Expired """"&G7,),ISBLANK(G7),)""),"""")",Dimensional Stone,"Natural Stone Institute study participating quarries: Coldspring, Delgado Stone Distributors, Freshwater Stone, Independent
Limestone Company, Polycor, Quality Stone Corporation, Royal Bedrock Inc., Russell Stone Products, Stony Creek Quarry, Vermont Quarries Corporation, and Vetter Stone Company","Includes: Delgado Stone, Polycor, Russell Stone Products, Vetter Stone Company, Continental Cut Stone",Weighted average product profile of installed m2 including mortar and connectors from 17 facilities.,"Industry weighted average: 56.72% limestone, 36.18% granite, 0.13% Marble, 6.97% from other natural stones (including quartzite and sandstone).",US & CA,US & CA,44954,=8.5+12.9,m²,=Q7,m²,m²,ft²,,,,,,,,,,,89.78,"kg/m2 installed stone, mortar, connectors, water",,2507,kg/m3,,,,,,,,,Stone,Natural,Cladding,Natural Stone,"04 41, 04 42, 04 43, 04 43 16,
09 75",NSI – 20221101 – 003,Industry average,Natural Stone Institute,Sustainable Minds,SM Transparency Report [EPD]™ Program,External,"Ecoform, Jack Geibig",ISO 21930:2017,Cladding product systems v2.0,TRACI 2.1,SimaPro 9.4,Ecoinvent 3.8,75,https://transparencycatalog.com/assets/uploads/pdf/Exterior-Dimension-Stone-Cladding_NSI.pdf,
NSF000,"Natural stone flooring / Natural Stone Institute / Includes limestone, granite, marble & quartzite / 1/2"" thickness / Mortar included / [Industry Avg, US]",TRUE,FALSE,TRUE,FALSE,2027,,Stone,Natural Stone Institute,"Includes: Coldspring, Colorado Stone Quarries, Continental Cut Stone, Delgado Stone, Independent Limestone Co, Polycor, Quality Stone, Royal Bedrock, Russel Stone, Stoney Creek Quarry, Vermont Quarriees, Vetter Stone",83.28 kg/m2,"Includes: Coldspring, Colorado Stone Quarries, Continental Cut Stone, Delgado Stone, Independent Limestone Co, Polycor, Quality Stone, Royal Bedrock, Russel Stone, Stoney Creek Quarry, Vermont Quarriees, Vetter Stone",US,US  ,45329,22,m2,=Q8,m2,m²,ft²,,,,,,,,,,,24.32,kg/m2,,,,,,,,,,,,Stone,,Flooring,Tiles,,NSI-20221101-002,Industry average,Natural Stone Institute,Sustainable Minds,Ecoform,External,Ecoform,ISO 21930:2017,Interior and exterior stone flooring,TRACI 2.1,SimaPro 9.4,Ecoinvent 3.8,,https://drive.google.com/file/d/1elsntyXzyDTEACYWId2fAQN1n4C5I5pL/view?usp=drive_link,
f1864e,"Cedar Shingles & Shakes / Red Cedar Lumber Assn / 3/4"" max thickness [Industry Avg | CA]",FALSE,TRUE,TRUE,FALSE,2021,Expired 2021,Cedar Shingles/shakes,,,"3/4"" coverage","3.98145 kg/m2 at 0.01905 (3/4"")",,CAN,,213.52,1000 BF,1.7235406779661,"m2 at 0.01905 m (3/4"")",m²,ft²,,1,0.5,,"m2 at 3/4""",=AE9*AF9,,,=AG9*0.01905*X9*Y9*3.67,0.9,209,kg/m3,2.36,m3/1000 BF,,,,,,,0.01905,,,,,,,,42522,Industry average,,FPInnovations,,,,,,,,,,,
1110de,Cedar Siding / Western Red Cedar Lumber Assn / 1x6 Boards [Industry Avg | CA],TRUE,FALSE,TRUE,FALSE,2021,Expired 2021,Cedar Siding,Western Red Cedar Lumber Assn,,1x6 Boards,"3.98145 kg/m2 at 0.01905 (3/4"")",,CAN,,213.52,1000 BF,1.7235406779661,"m2 at 0.01905 m (3/4"")",m²,ft²,,1,0.5,,"m2 at 0.01905 m (3/4"")",=AE10*AF10,,,=AG10*0.01905*X10*Y10*3.67,0.9,209,kg/m3,2.36,m3/1000 BF,,,,,,,0.01905,,,,,,,,42522,Industry average,,FPInnovations,,,,,,,,,,,
fc7d3a,Cellulose / dense pack / CIMA / R 3.7-inch / [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,45649,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G11),IF(G11<TODAY(),""""Expired """"&TO_TEXT(G11)&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISNUMBER(G11), IF(G11<YEAR(TODAY()),""""Expired """"&G11&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISBLANK(G11),""""BfCA BioC calc b""&""y mass"""")""),""Expired 2024-12-23; BfCA BioC calc by mass"")",Cellulose - dense pack,CIMA,"Includes AFT, Applegate, Can-Cell, Cell-Pak, Cleanfiber, Climatizer, Fiberlite, Igloo, ICC, Mason City, Nu-Wool, Soprema, Thermo-Kool",R 3.7/inch,,US & CA,US & CA,45312,0.487,m2•RSI,=Q11*AI11/0.951,m2•RSI,m²•RSI,ft²•R,,0.86,0.5,=X11*Y11*AI11*44/12*AF11,m2•RSI,,,,,0.9,56,kg/m3,2.184,kg/m2 at RSI1,3.7,=0.0254*5.678/AK11,,,,,,,,Cellulose,,Insulation,Dense pack,,CIM – 20191223 – 001 ,Industry average,CIMA - Cellulose Insulation Manufacturers Association,Sustainable Minds,,,,,,,,,,,
1ca576,Cellulose / loose fill / CIMA / R 3.7-inch / [Industry Avg | US & CA] ,TRUE,FALSE,TRUE,FALSE,45649,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G12),IF(G12<TODAY(),""""Expired """"&TO_TEXT(G12)&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISNUMBER(G12), IF(G12<YEAR(TODAY()),""""Expired """"&G12&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISBLANK(G12),""""BfCA BioC calc b""&""y mass"""")""),""Expired 2024-12-23; BfCA BioC calc by mass"")",Cellulose - loose fill,CIMA,"Includes: AFT, Applegate, Can-Cell, Cell-Pak, Cleanfiber, Climatizer, Fiberlite, Igloo, ICC, Mason City, Nu-Wool, Soprema, Thermo-Kool",R 3.7/inch,0.04 m at RSI 1 avg of 12 companies,,US & CA,45312,0.487,m2•RSI,0.487,m2•RSI,m²•RSI,ft²•R,,0.86,0.5,=X12*Y12*AI12*44/12*0.9,m2•RSI,,,,,0.9,24.4,kg/m3,=AG12*AL12,kg/m2 at RSI1,3.7,=0.0254*5.678/AK12,,,,,,,,Cellulose,,Insulation,Loose fill,07 21 23,CIM – 20191223 – 001 ,Industry average,CIMA - Cellulose Insulation Manufacturers Association,Sustainable Minds,UL Environment,External,NSF Certification,,,TRACI 2.1,"SimaPro Analyst 8.5.2.0, EcoInvent 3.1, 2.2",,75,,
5231c8,"Cellulose / spray applied / International Cellulose Corp. / K-13, ThermoCon / R 3.75-inch",TRUE,FALSE,FALSE,FALSE,2025,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G13),IF(G13<TODAY(),""""Expired """"&TO_TEXT(G13)&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISNUMBER(G13), IF(G13<YEAR(TODAY()),""""Expired """"&G13&""""; BfCA BioC calc by mass"""",""""BfCA BioC calc by mass""""),ISBLANK(G13),""""BfCA BioC calc b""&""y mass"""")""),""Expired 2025; BfCA BioC calc by mass"")",Cellulose - spray applied,International Cellulose Corp.,"K-13, ThermoCon",R 3.75/inch,0.0384 m at RSI 1,,,,0.325,m2•RSI,0.325,m2•RSI,m²•RSI,ft²•R,,0.71,0.5,=X13*Y13*AI13*44/12*AF13,m2•RSI,,,,,0.9,54.5,kg/m3,2.071,kg/m2 at RSI1,3.75,=0.0254*5.678/AK13,,,,,,,,Cellulose,,Insulation,Spray applied,,ICC – 20200122– 001,Industry average,,Sustainable Minds,,,,,,,,,,,
CER000,Ceramic tile / Tile Council of North America/ 18.8 kg/m2 / [Industry Avg | US & CA] ,TRUE,FALSE,TRUE,FALSE,2025,"=IFERROR(@__xludf.DUMMYFUNCTION(""CONCATENATE(IFS(ISDATE(G14),IF(G14<TODAY(),""""Expired """"&TO_TEXT(G14)&"""", """",),ISNUMBER(G14), IF(G14<YEAR(TODAY()),""""Expired """"&G14&"""", """",),ISBLANK(G14),),""""Mortar EPD added"""")""),""Expired 2025, Mortar EPD added"")",Ceramic tile,Tile Council of North America,"Includes: American Wonder, Arto, Crossville, Dal-Tile, Del Conca USA, Florida Tile, Interceramic, Ironrock, Porcelanite-Lamosa, Portobello Tile, Quarry Tile, StonePeak Ceramics, Vitromex USA",Industry average. ,"Includes: American Wonder, Arto, Crossville, Dal-Tile, Del Conca USA, Florida Tile, Interceramic, Ironrock, Porcelanite-Lamosa, Portobello Tile, Quarry Tile, StonePeak Ceramics, Vitromex USA",US,US & CA,45328,14.1,m²,=Q14,m²,m²,ft²,,,,,,,,,,,18.8,kg/m2,,,,,,,,,,,,Ceramic tile,,Flooring,Tile,,4789101745.101.1,Industry average,Tile Council of North America,UL Environment,UL Environment,External,Ramboll,ISO 21930:2017,"Flooring EPD requirements, UL 10010-7, v2.0",TRACI 2.1,GaBi 9.2.0.58,GaBi 9.2.0.58,75,https://drive.google.com/file/d/1uA5qUj6fJDt4YSxiVllJloPyl8HXDkUN/view?usp=drive_link,
285b88,Clay roof tiles / HISPALYT / [Industry Avg | Spain],TRUE,FALSE,TRUE,FALSE,2022,Expired 2022,Clay roof tiles,HISPALYT,,,,,EU,,3.55,m²,3.55,m²,m²,ft²,,,,,,,,,,,56,kg/m2,,,,,,,,,,,,,,,,,GlobalEPD-RCP-008-001,Industry average,Spanish Association of Clay Brick and Roofing Tile Manufacturers (HISPALYT),Cátedra UNESCO de Ciclo de Vida y Cambio Climático (ESCI-UPF),AENOR Internacional S.A.U.,,,,,,,,150,,
CMU000,"CMU - Light weight / 8"" Light weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA East Region [Industry Avg | CA]",TRUE,FALSE,TRUE,FALSE,46636,,CMU - Light weight,"Canadian Concrete Masonry Producers Assn, East Region","8"" Light weight blocks",390 x 190 x 190 mm,"Includes: Basalite, Brampton Brick, Brown's Concrete, Canal Block, Casey Concrete, Century Concrete, Day & Campbell, Cindercrete, Newcrete, Expocrete, Newtonbrook Block, Niagara Block, Richvale-York Block, Santerra Stonecraft, Shaw Brick, Simcoe Masonry, VJ Rice Concrete",CAN,US & CA,45327,176.54,m3,=Q16/9.246,"m2 at 8"" block thickness",m²,ft²,,,,,,,,,,,1722.56,kg/m3,186,kg/m2 of wall,,,,,0.39,0.19,0.19,,,Concrete,,CMU,Block,,EPD-338,Industry average,Canadian Concrete Masonry Producers Assn,Athena,ASTM,External,Timothy S. Brooke,ISO 21930:2017,Concrete masonry and segmental concrete paving product v1.0,,Athena Concrete LCA Calculator v2,SimaPro 8.5,,https://drive.google.com/file/d/12cuwTeifJNbNYl_DWVIHAPvP8I4g4TVI/view?usp=drive_link,
